split,group,filtered_row,source_row,baseline_similarity,sentence2_token_length,sentence1,sentence2
search,all,105,105,0.5338995456695557,14,"mr president , the cashman report can be summarised in four words : citizens ' power over bureaucracy .",No girl with a bikini is playing in the dunes
search,all,118,118,0.5406436920166016,9,A man is dancing on the ceiling,this further aggravated the situation .
search,all,122,122,0.5427613258361816,24,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.","no , a tent will not give you any protection from bears that want what 's inside ."
search,all,124,124,0.5437372922897339,12,what more can i do to improve my credit score ?,the man is feeding a mouse to the snake .
search,all,132,132,0.5478913187980652,11,a prominent attribute or aspect of something .,There is no rope being climbed by a man
search,all,134,134,0.5489749312400818,9,There is no rope being climbed by a man,generate the optimal solution of these computed values
search,all,135,135,0.5494399666786194,6,No motorcycle racer is riding a red and black bike,( cause to ) survive
search,all,136,136,0.5499900579452515,13,There is no person riding a jetski in the waves,what more can i do to improve my credit score ?
search,all,138,138,0.5510491728782654,16,a man playing the guitar .,ukraine will not give ' an inch ' over crimea
search,all,139,139,0.551550030708313,13,There is no rope being climbed by a man,I guess it depends on what you're going to do.
search,all,140,140,0.5520585775375366,13,the man is feeding a mouse to the snake .,"A girl in water, with goggles and swimming cap."
search,all,143,143,0.5536472797393799,9,A woman is falling off a horse,generate the optimal solution of these computed values
search,all,145,145,0.5546960830688477,19,a man playing the guitar .,"the international atomic energy agency has no access to people , documents , sites ."
search,all,149,149,0.5567413568496704,7,The companies said Idec holders would own about 50.5 percent of the stock of the combined company.,A boy is eating a cupcake
search,all,154,154,0.5593560934066772,6,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",A woman is water skiing.
search,all,169,169,0.5671544075012207,16,The man is pouring some oil on the tomatoes,ukraine will not give ' an inch ' over crimea
search,all,178,178,0.571830689907074,17,it has the effect of augmenting the potency of the big countries to the detriment of babies .,Two men are waiting for a ride on the side of a dirt road.
search,all,191,191,0.5785892605781555,7,A man in a car is not pulling up beside a woman who is walking along a road,ive watched kids play .
search,all,193,193,0.579630970954895,31,gunmen kill 11 foreign tourists in pakistan,"i 've only made a couple of bbq sauces , but they 've always come out really well ."
search,all,211,211,0.5889890193939209,31,A shirtless man is leading a horse that is pulling a carriage,"i 've only made a couple of bbq sauces , but they 've always come out really well ."
search,all,212,212,0.5895063877105713,8,there are a few airlines which operate flights at lower fares .,A woman is dancing near a fireplace
search,all,215,215,0.5910679697990417,22,A little girl with blond hair is smiling and sitting on a swing,"immerse or be immersed in a boiling liquid , for purposes of cooking or processing ."
search,all,222,222,0.5947068929672241,14,deadline passes with no new iran sanctions,( cause to ) become a powder or as dust .
search,all,230,231,0.599386990070343,21,how can i repair a leaking shower ?,A man in a car is not pulling up beside a woman who is walking along a road
search,all,235,236,0.6019867658615112,10,two black dogs are playing in a grassy plain .,warmed.c from the year prior .
search,all,238,239,0.6035453081130981,36,A snowboarder is grinding down a long rail,"it 's true that , under one understanding of "" accessibility "" and "" determining "" , your accessibility relation is determined by your axioms ."
search,all,242,243,0.6056262850761414,10,"that is , if the recording industry association of america has anything to say about it .",A young boy has a red fishing pole.
search,all,244,245,0.6066657304763794,16,about 20 family members of the victims were invited to the news conference .,A little girl with blond hair is smiling and sitting on a swing
